user_id,age,number_dependents_clean,last_month_salary_clean
36000,28,0,3500
35999,64,0,5045
35998,70,0,6000
35996,68,0,10833
35995,59,2,7310
35994,47,0,5208
35993,31,0,2166
35992,51,0,4000
35991,38,2,10550
35990,27,0,5400
35989,52,2,12166
35988,75,0,5400
35986,48,0,5400
35985,75,1,5500
35984,42,0,1200
35983,51,0,5400
35982,70,0,5400
35981,63,0,6000
35980,28,0,1000
35979,45,0,5400
35978,78,0,5000
35977,71,0,7978
35976,59,0,1936
35975,63,0,6255
35974,37,1,2583
35973,56,0,5674
35972,64,1,9750
35971,47,0,11250
35970,70,0,9700
35969,41,2,5400
35968,28,4,3000
35967,57,0,2800
35966,69,1,2300
35965,54,1,5400
35964,47,0,8335
35963,36,0,5166
35962,61,0,1948
35961,53,1,3878
35960,49,3,9500
35959,32,1,7916
35958,62,0,5400
35957,42,1,5400
35956,32,0,5400
35955,42,2,7000
35954,42,3,9417
35953,40,0,5091
35952,48,0,7932
35951,65,0,10000
35950,45,4,6400
35949,33,0,8000
35948,38,0,5400
35947,60,1,15125
35946,53,1,3100
35945,26,1,5400
35944,48,3,4500
35943,29,0,2100
35942,58,1,5400
35941,44,0,2700
35940,53,0,5000
35939,28,0,256
35938,76,0,5400
35937,65,2,21600
35936,59,1,3483
35935,63,1,5400
35934,52,1,8000
35933,66,0,12166
35932,69,0,788
35931,51,1,1428
35930,38,4,10000
35929,47,0,5400
35928,48,2,19000
35927,44,2,10000
35926,28,1,2400
35924,73,0,9931
35923,60,0,2741
35922,71,0,5400
35921,64,0,7593
35920,49,0,6083
35919,24,0,1418
35918,38,2,5400
35917,44,0,5400
35916,44,3,4000
35915,52,0,5400
35914,29,0,5400
35913,40,2,7636
35912,57,3,4200
35911,39,2,4300
35910,63,0,8000
35909,24,0,2500
35908,71,0,7425
35907,32,0,5400
35906,73,0,12887
35905,37,2,6666
35904,40,0,5100
35903,30,0,0
35902,45,2,1600
35901,33,1,7250
35900,48,0,3168
35899,63,0,5400
35898,41,0,6380
35897,28,0,5400
35896,43,1,14574
35895,39,0,4661
35894,76,0,5400
35893,46,0,6540
35892,61,2,2500
35891,48,0,5400
35890,64,0,14166
35889,64,1,5400
35888,49,0,6083
35887,50,1,12950
35886,75,0,1800
35885,80,0,4925
35884,37,0,5400
35883,38,2,500
35882,36,0,6284
35881,57,0,5400
35880,52,4,4245
35879,56,0,3100
35878,37,0,2228
35877,37,0,5250
35876,54,2,6696
35875,49,0,8600
35874,60,0,11408
35873,49,1,14500
35872,66,1,3100
35871,41,0,7160
35869,62,0,1500
35868,33,4,3279
35867,65,0,5400
35866,63,0,7500
35865,66,0,8800
35864,42,2,8500
35863,52,0,5400
35862,37,0,6139
35861,35,1,2850
35860,44,2,4166
35859,47,0,5200
35857,49,1,8833
35856,43,3,7681
35855,33,2,6986
35853,29,0,3750
35852,56,0,3833
35851,67,1,6400
35850,61,0,4038
35849,58,0,8354
35848,43,0,4200
35847,65,1,8000
35846,22,0,820
35845,38,2,5166
35844,62,0,3900
35843,62,0,5400
35842,36,3,2000
35841,77,0,10500
35840,72,0,4136
35839,68,0,2667
35838,75,0,4773
35837,53,0,5400
35836,80,1,8500
35835,54,3,14000
35834,36,3,9800
35833,67,0,5400
35830,29,0,4420
35829,77,0,8333
35828,56,0,1196
35827,62,3,9583
