user_id,age,last_month_salary_clean,number_dependents_clean,default_flag,more_90_days_overdue,using_lines_not_secured_personal_assets,number_times_delayed_payment_loan_30_59_days,debt_ratio,number_times_delayed_payment_loan_60_89_days,total_loan,real_state,other,age_range
9884,21,833,0,0,0,"0,9999999",0,"0,070743405",0,0,0,0,18-35
14999,21,0,0,0,0,"0,9999999",0,0,0,0,0,0,18-35
865,21,867,0,0,98,"0,9999999",98,0,98,0,0,0,18-35
3108,21,5400,0,0,98,"0,9999999",98,0,98,0,0,0,18-35
28122,21,5400,1,0,0,"0,9999999",0,8,0,0,0,0,18-35
24483,21,5400,1,0,98,"0,9999999",98,0,98,0,0,0,18-35
18876,21,5400,1,0,0,"0,9999999",0,307,0,0,0,0,18-35
27733,21,1000,0,0,0,"0,36963037",0,"0,010989011",0,1,0,1,18-35
35429,21,2250,2,0,0,"0,626674665",0,"0,107507774",0,1,0,1,18-35
22623,21,2420,0,0,0,"0,898203593",0,"0,005369682",0,1,0,1,18-35
17258,21,845,0,0,0,0,0,0,0,1,0,1,18-35
24559,21,0,0,0,0,"0,017964072",0,0,0,1,0,1,18-35
15009,21,1,1,0,0,0,0,0,0,1,0,1,18-35
18209,21,1300,0,0,0,"0,512479201",0,"0,101460415",0,1,0,1,18-35
15684,21,5400,0,0,0,0,0,0,0,1,0,1,18-35
33474,21,5400,1,0,0,"0,9999999",0,112,0,1,0,1,18-35
2303,21,5400,0,0,0,"0,974392418",0,672,0,1,0,1,18-35
12520,21,0,0,0,0,0,0,0,0,1,0,1,18-35
9754,21,854,0,0,0,"0,9999999",0,0,0,1,0,1,18-35
28075,21,5400,1,0,0,"0,816367265",0,12,0,1,0,1,18-35
16848,21,0,0,0,0,0,0,0,0,1,0,1,18-35
3985,21,3300,0,0,0,"0,289421158",0,"0,001211754",0,1,0,1,18-35
4732,21,550,0,0,0,"0,9999999",0,"0,176043557",0,1,0,1,18-35
35630,21,700,0,0,0,"0,9999999",0,0,0,1,0,1,18-35
13372,21,2000,0,0,0,0,0,0,0,1,0,1,18-35
2932,21,5400,0,0,0,"0,445078459",0,9,0,1,0,1,18-35
18682,21,5400,0,0,0,"0,9999999",0,34,0,1,0,1,18-35
8870,21,5400,1,0,0,"0,9999999",0,0,0,1,0,1,18-35
280,21,4000,0,0,0,"1,107892108",0,"0,008247938",0,2,0,2,18-35
22147,21,820,0,0,0,0,0,0,0,2,0,2,18-35
5381,21,9686,0,0,0,"0,321357285",0,"0,000412925",0,2,0,2,18-35
24324,21,1370,0,0,0,"0,101123596",0,"0,001458789",0,2,0,2,18-35
16574,21,1300,0,0,0,"0,686654909",0,"0,037663336",0,2,0,2,18-35
4012,21,0,0,0,0,"0,017269587",0,2,0,2,0,2,18-35
26170,21,1,0,0,0,0,0,0,0,2,0,2,18-35
20846,21,929,0,0,0,0,0,"0,061290323",0,2,0,2,18-35
10438,21,1160,0,0,0,"0,074923344",0,"0,028423773",0,3,0,3,18-35
2966,21,641,0,0,0,"0,602794411",0,"0,884735202",0,3,0,3,18-35
3683,22,5400,0,0,0,"0,9999999",0,20,0,0,0,0,18-35
31904,22,0,0,0,98,"0,9999999",98,0,98,0,0,0,18-35
12798,22,1200,0,0,0,"0,9999999",0,"0,033305579",0,0,0,0,18-35
14767,22,5400,0,0,0,"0,9999999",0,0,0,0,0,0,18-35
17431,22,5400,0,0,98,"0,9999999",98,0,98,0,0,0,18-35
23057,22,5400,0,0,98,"0,9999999",98,0,98,0,0,0,18-35
